match_id,team_name,venue_name,ball_no,run,is_wide,is_noBall,Wicket,is_legBye,isBye,totalScore
2022_1,Kolkate Night Riders, Wankhede,0.1,0,0,0,0,0,0,0
2022_1,Kolkate Night Riders, Wankhede,0.2,0,0,0,0,0,0,0
2022_1,Kolkate Night Riders, Wankhede,0.3,0,0,0,0,0,0,0
2022_1,Kolkate Night Riders, Wankhede,0.4,2,0,0,0,0,0,2
2022_1,Kolkate Night Riders, Wankhede,0.5,4,0,0,0,0,0,6
2022_1,Kolkate Night Riders, Wankhede,0.6,0,0,0,0,0,0,6
2022_1,Kolkate Night Riders, Wankhede,1.1,2,0,0,0,0,0,8
2022_1,Kolkate Night Riders, Wankhede,1.2,0,0,0,0,0,0,8
2022_1,Kolkate Night Riders, Wankhede,1.3,0,0,0,0,0,0,8
2022_1,Kolkate Night Riders, Wankhede,1.4,0,0,0,0,0,0,8
2022_1,Kolkate Night Riders, Wankhede,1.5,0,0,0,0,0,0,8
2022_1,Kolkate Night Riders, Wankhede,1.6,0,0,0,0,0,0,8
2022_1,Kolkate Night Riders, Wankhede,2.1,0,0,0,0,0,0,8
2022_1,Kolkate Night Riders, Wankhede,2.2,0,0,0,0,0,0,8
2022_1,Kolkate Night Riders, Wankhede,2.3,1,0,0,0,0,0,9
2022_1,Kolkate Night Riders, Wankhede,2.4,2,0,0,0,0,0,11
2022_1,Kolkate Night Riders, Wankhede,2.5,4,0,0,0,0,0,15
2022_1,Kolkate Night Riders, Wankhede,2.6,0,0,0,0,0,0,15
2022_1,Kolkate Night Riders, Wankhede,3.1,0,0,0,0,0,0,15
2022_1,Kolkate Night Riders, Wankhede,3.2,0,0,0,0,0,0,15
2022_1,Kolkate Night Riders, Wankhede,3.3,0,0,0,0,0,0,15
2022_1,Kolkate Night Riders, Wankhede,3.4,4,0,0,0,0,0,19
2022_1,Kolkate Night Riders, Wankhede,3.5,0,0,0,0,0,0,19
2022_1,Kolkate Night Riders, Wankhede,3.6,6,0,0,0,0,0,25
2022_1,Kolkate Night Riders, Wankhede,4.1,0,0,0,0,0,0,25
2022_1,Kolkate Night Riders, Wankhede,4.2,4,0,0,0,0,0,29
2022_1,Kolkate Night Riders, Wankhede,4.3,1,0,0,0,0,0,30
2022_1,Kolkate Night Riders, Wankhede,4.4,0,0,0,0,0,0,30
2022_1,Kolkate Night Riders, Wankhede,4.5,4,0,0,0,0,0,34
2022_1,Kolkate Night Riders, Wankhede,4.6,1,0,0,0,0,0,35
2022_1,Kolkate Night Riders, Wankhede,5.1,4,0,0,0,0,0,39
2022_1,Kolkate Night Riders, Wankhede,5.2,1,0,0,0,0,0,40
2022_1,Kolkate Night Riders, Wankhede,5.3,2,0,0,0,0,0,42
2022_1,Kolkate Night Riders, Wankhede,5.4,1,0,0,0,0,0,43
2022_1,Kolkate Night Riders, Wankhede,5.5,0,0,0,0,0,0,43
2022_1,Kolkate Night Riders, Wankhede,5.6,0,0,0,0,0,0,43
2022_1,Kolkate Night Riders, Wankhede,6.1,0,0,0,0,0,0,43
2022_1,Kolkate Night Riders, Wankhede,6.2,0,0,0,1,0,0,43
2022_1,Kolkate Night Riders, Wankhede,6.3,0,0,0,0,0,0,43
2022_1,Kolkate Night Riders, Wankhede,6.4,0,0,0,0,0,0,43
2022_1,Kolkate Night Riders, Wankhede,6.5,0,0,0,0,0,0,43
2022_1,Kolkate Night Riders, Wankhede,6.6,1,0,0,0,0,0,44
2022_1,Kolkate Night Riders, Wankhede,7.1,4,0,0,0,0,0,48
2022_1,Kolkate Night Riders, Wankhede,7.2,1,0,0,0,0,0,49
2022_1,Kolkate Night Riders, Wankhede,7.3,1,0,0,0,0,0,50
2022_1,Kolkate Night Riders, Wankhede,7.4,4,0,0,0,0,0,54
2022_1,Kolkate Night Riders, Wankhede,7.5,4,0,0,0,0,1,58
2022_1,Kolkate Night Riders, Wankhede,7.6,1,0,0,0,0,0,59
2022_1,Kolkate Night Riders, Wankhede,8.1,6,0,0,0,0,0,65
2022_1,Kolkate Night Riders, Wankhede,8.2,1,0,0,0,0,0,66
2022_1,Kolkate Night Riders, Wankhede,8.3,1,0,0,0,0,0,67
2022_1,Kolkate Night Riders, Wankhede,8.4,1,0,0,0,0,0,68
2022_1,Kolkate Night Riders, Wankhede,8.5,1,0,0,0,0,0,69
2022_1,Kolkate Night Riders, Wankhede,8.6,1,0,0,0,0,0,70
2022_1,Kolkate Night Riders, Wankhede,9.1,1,0,0,0,0,0,71
2022_1,Kolkate Night Riders, Wankhede,9.2,4,0,0,0,0,0,75
2022_1,Kolkate Night Riders, Wankhede,9.3,1,0,0,0,0,0,76
2022_1,Kolkate Night Riders, Wankhede,9.4,0,0,0,0,0,0,76
2022_1,Kolkate Night Riders, Wankhede,9.5,0,0,0,0,0,0,76
2022_1,Kolkate Night Riders, Wankhede,9.6,0,0,0,1,0,0,76
2022_1,Kolkate Night Riders, Wankhede,10.1,0,0,0,0,0,0,76
2022_1,Kolkate Night Riders, Wankhede,10.2,1,0,0,0,0,0,77
2022_1,Kolkate Night Riders, Wankhede,10.3,1,0,0,0,0,0,78
2022_1,Kolkate Night Riders, Wankhede,10.4,4,0,0,0,0,0,82
2022_1,Kolkate Night Riders, Wankhede,10.5,1,0,0,0,0,0,83
2022_1,Kolkate Night Riders, Wankhede,10.6,0,0,0,0,0,0,83
2022_1,Kolkate Night Riders, Wankhede,11.1,1,0,0,0,0,0,84
2022_1,Kolkate Night Riders, Wankhede,11.2,1,0,0,0,0,0,85
2022_1,Kolkate Night Riders, Wankhede,11.3,2,0,0,0,0,0,87
2022_1,Kolkate Night Riders, Wankhede,11.4,0,0,0,1,0,0,87
2022_1,Kolkate Night Riders, Wankhede,11.5,1,0,0,0,0,0,88
2022_1,Kolkate Night Riders, Wankhede,11.6,2,0,0,0,0,0,90
2022_1,Kolkate Night Riders, Wankhede,12.1,1,0,0,0,0,0,91
2022_1,Kolkate Night Riders, Wankhede,12.2,1,0,0,0,0,0,92
2022_1,Kolkate Night Riders, Wankhede,12.3,0,0,0,0,0,0,92
2022_1,Kolkate Night Riders, Wankhede,12.4,0,0,0,0,0,0,92
2022_1,Kolkate Night Riders, Wankhede,12.5,1,0,0,0,0,0,93
2022_1,Kolkate Night Riders, Wankhede,12.6,0,0,0,0,0,0,93
2022_1,Kolkate Night Riders, Wankhede,13.1,2,0,0,0,0,0,95
